ticker,pole,ranker_rank,ranker_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
EWW,IAU,65.0,80.0,STRONG_BUY,90.0,True,TRENDING,,5.0,,none,4,"['ranker', 'advanced', 'qualifier', 'secrot']",
IGF,XLU,86.0,77.7,STRONG_BUY,90.0,False,TRENDING,,4.0,,none,4,"['ranker', 'advanced', 'qualifier', 'secrot']",
EMEQ,VXUS,108.0,75.7,STRONG_BUY,90.0,True,TRENDING,,3.2,,none,4,"['ranker', 'advanced', 'qualifier', 'secrot']",
FLMX,IAU,143.0,72.7,STRONG_BUY,90.0,True,TRENDING,,3.6,,none,4,"['ranker', 'advanced', 'qualifier', 'secrot']",
FORM,XLI,2.0,96.0,STRONG_BUY,90.0,False,PULLBACK,,,,none,3,"['ranker', 'advanced', 'qualifier']",
CIEN,XLK,6.0,91.7,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
AU,IAU,10.0,90.5,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
EWY,VXUS,11.0,90.2,,,False,TRENDING,,5.1,,none,3,"['ranker', 'qualifier', 'secrot']",
SMERY,QQQ,13.0,89.0,STRONG_BUY,90.0,True,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
FLKR,VXUS,14.0,88.3,,,False,TRENDING,,4.7,,none,3,"['ranker', 'qualifier', 'secrot']",
LITE,XLK,15.0,88.2,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
ROIV,XLK,22.0,86.2,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
MTZ,XLI,25.0,85.6,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
SDVKY,VXUS,27.0,85.0,STRONG_BUY,90.0,True,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
FRO,--,30.0,84.8,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
SMTOY,VXUS,32.0,84.2,STRONG_BUY,90.0,False,TRENDING,,,,none,3,"['ranker', 'advanced', 'qualifier']",
